07:35,Birkenhead,XP,V4-4-0,Margate,S16.32:101,S16.36:103,S16.40:104,T16.46:105,,,,,,,,,,,,,,,,,,,,,
07:36,Maidstone,Pass,2-6-2T,Margate,S09.37:101,S09.41:103,S09.45:104,T09.51:105,,,,,,,,,,,,,,,,,,,,,
07:40,Maidstone,Pass,EMU,Victoria,S08.16:140,S08.21:142,P08.25:147,P08.27:149,P08.29:152,S08.38:160,P08.40:163,T08.46:167,,,,,,,,,,,,,,,,,
07:42,Orpington,Pass,EMU,Victoria,,,,,,,,,,,,,S07.48:146,S07.50/07.51:148,S07.54:150,S07.57:152,S07.59:155,S08.01:156,S08.04:157,S08.06:158,S08.08:161,S08.11:163,T08.16:167,,
07:42,Sevenoaks,Pass,EMU,Holbourn Viaduct,,,,,,,,,,,,,S08.04:141,S08.09:142,S08.14:145,S08.16/08.17:147,S08.20:149,,,,,,,,
07:42,Dover,Pass,U1 2-6-0,Chatham,S08.39/08.48:117,S08.57:118,S09.03/09.05:120,S09.12:124,S09.18:125,S09.23/09.25:126,T09.29:129,S07.42:174,S07.48:175,S07.56:176,S08.01:177,S08.04:178,S08.07:179,S08.13:180,S08.18/08.250:181,S08.33:182,,,,,,,,,
07:43,Gillingham,Pass,EMU,Holbourn Viaduct,S07.43:127,S07.46/07.48:128,S07.49/07.50:130,P07.52:133,S08.02:136,S08.05:137,S08.09:301,S08.14:139,S08.20:141,S08.30/08.31:147,S08.34:149,,,,,,,,,,,,,,
07:47,Orpington,Pass,EMU,Holbourn Viaduct,P07.52:144,S07.54:146,S07.55/07.56:148,S07.59:150,S08.02:152,S08.04:155,S08.06:156,S08.09:157,S08.11:158,S08.13:161,,,,,,,,,,,,,,,
07:48,Sittingbourne,Pass,2-6-2T,Sheerness,S07.48:120,P07.49:509,P07.50:506,S07.59:515,T08.09:516,,,,,,,,,,,,,,,,,,,,
07:50,Gillingham,Pass,EMU,Charing Cross,S07.50:127,S07.53/07.56:128,S07.57/08.58:130,T07.59:133,,,,,,,,,,,,,,,,,,,,,
07:51,Orpington,Pass,EMU,Victoria,P07.56:144,S07.59:146,S08.00/08.01:148,S08.03:150,S08.06:152,S08.08:155,S08.10:156,S08.13:157,S08.15:158,S08.18:161,S08.20:163,T08.25:167,,,,,,,,,,,,,
07:51,Ashford,Pass,2-6-2T,Faversham,T09.41:116,S08.46:174,S08.52:175,S08.59:176,S09.04:177,S09.07:178,S09.10:179,S09.16:180,S09.21/09.22:181,S09.35:182,,,,,,,,,,,,,,,
07:54,Maidstone,Pass,EMU,Victoria,S08.39:140,S08.44:142,S08.51/08.53:147,P08.55:149,P08.56:151,P09.08:163,T09.14:167,,,,,,,,,,,,,,,,,,
08:00,Orpington,Pass,EMU,Victoria,P08.05:144,S08.08:146,S08.09/08.10:148,S08.13:150,S08.16:152,S08.18:155,S08.20:156,S08.23:157,S08.26:158,S08.28:161,S08.30:163,T08.36:167,,,,,,,,,,,,,
08:01,Sevenoaks,Pass,EMU,Blackfriars,S08.24:140,S08.29:142,S08.34:145,S08.36/08.37:147,S08.40:149,,,,,,,,,,,,,,,,,,,,
08:07,Orpington,Pass,EMU,Holbourn Viaduct,P08.12:144,S08.13:146,S08.15/08.16:148,S08.19:150,S08.22:152,S08.24:155,S08.26:156,S08.29:157,S08.31:158,S08.33:161,,,,,,,,,,,,,,,
08:11,Gillingham,Pass,EMU,Charing Cross,S08.11:127,S08.14/08.15:128,S08.16/08.17:130,T08.18:133,,,,,,,,,,,,,,,,,,,,,
08:15,Gillingham,Pass,EMU,Holbourn Viaduct,S08.15:127,S08.18/08.20:128,S08.21/08.22:130,P08.24:133,S08.34:136,S08.36:137,S08.41:301,S08.45:139,S08.53:141,S09.03/09.04:147,P09.08:152,T09.17:162,,,,,,,,,,,,,
08:17,Dover,Pass,N2-6-0,Faversham,T09.10:117,S08.17:174,S08.23:175,S08.30:176,S08.35:177,S08.38:178,S08.41:179,S08.47:180,S08.52/08.54:181,,,,,,,,,,,,,,,,
08:17,Gillingham,Pass,EMU,Sole St,S08.17:127,P08.22:128,P08.25:130,P08.26:133,T08.37:136,,,,,,,,,,,,,,,,,,,,
08:20,Orpington,Pass,EMU,Victoria,P08.25:144,S08.27:146,S08.30/08.31:148,S08.34:150,S08.37:152,S08.39:155,S08.41:156,S08.44:157,S08.46:158,S08.49:161,S08.51:163,T08.56:167,,,,,,,,,,,,,
08:20,Herne Bay,XP,V4-4-0,Cannon St,S08.20:111,S08.26:113,S08.31:114,S08.41/08.42:116,S08.53/08.54:120,S09.08/09.10:128,P09.12:130,P09.13:133,P09.25:136,P09.35:141,T09.40:143,,,,,,,,,,,,,,
08:20,Maidstone,Pass,EMU,Holbourn Viaduct,P09.01:140,S09.12/09.13:147,P09.15:149,,,,,,,,,,,,,,,,,,,,,,
08:21,Gillingham,Pass,EMU,Cannon St,S08.21:127,S08.24/08.27:128,S08.28/08.29:130,T08.30:133,,,,,,,,,,,,,,,,,,,,,
08:23,Bickley,Pass,EMU,Holbourn Viaduct,S08.23:146,S08.25/08.26:148,S08.29:150,S08.32:152,S08.34:155,S08.36:156,S08.39:157,S08.41:158,T08.46:162,,,,,,,,,,,,,,,,
08:23,Sevenoaks,Pass,EMU,Blackfriars,S08.24:140,S08.29:142,S08.34:145,S08.36/08.37:147,S08.40:149,,,,,,,,,,,,,,,,,,,,
08:25,Ramsgate,XP,WC,Victoria,S08.25:101,S08.29:103,S08.33:104,S08.39/08.41:106,S08.46:107,S08.59/09.00:111,S09.08:114,P09.18:116,P09.25:120,P09.34:126,P09.37:128,P09.39:130,P09.51:136,P10.01:141,P10.10:147,P10.12:152,P10.20:160,P10.21:163,T10.27:167,,,,,,
08:30,Ramsgate,Light,WC,Margate,S08.30:101,T08.46:105,,,,,,,,,,,,,,,,,,,,,,,
08:31,Orpington,Pass,EMU,Holbourn Viaduct,P08.36:144,S08.38:146,S08.40/08.41:148,S08.43:150,S08.46:152,S08.48:155,S08.50:156,S08.53:157,S08.55:158,S08.58:161,,,,,,,,,,,,,,,
08:33,Orpington,Pass,EMU,Holbourn Viaduct,S08.33:146,S08.35/08.36:148,S08.38:150,S08.41:152,S08.43:155,S08.45:156,S08.48:157,S08.50:158,S08.53:161,,,,,,,,,,,,,,,,
08:37,Gillingham,Pass,EMU,Charing Cross,S08.37:127,S08.40/08.43:128,S08.44/08.45:130,T08.46:133,,,,,,,,,,,,,,,,,,,,,
08:43,Orpington,Pass,EMU,Victoria,P08.48:144,S08.49:146,S08.51/08.52:148,S08.55:150,S08.58:152,S09.00:155,S09.02:156,S09.05:157,S09.07:158,S09.11:161,S09.14:163,T09.20:167,,,,,,,,,,,,,
08:43,Gillingham,Pass,EMU,Victoria,S08.43:127,S08.45/08.47:128,S08.48/08.49:130,P08.51:133,P09.00:136,S09.12:141,S09.21/09.22:147,P09.26:152,P09.33:160,P09.34:163,T09.41:167,,,,,,,,,,,,,,
