Train,From,Class,Engine,Destination,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,300,121,122,168,169,170,171,172,173,123,124,125,126,127,128,129,130,131,132,133,134,135,136,305,137,301,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,174,175,176,177,178,179,180,181,182
07:08,Gillingham,pass,EMU,Charing Cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S07.08,S07.11/07.13,,S07.14/07.15,,,T07.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07:10,Sittingbourne,pass,2-6-2T,Sheerness,,,,,,,,,,,,,,,,,,,,S07.10,,P07.11,P07.12,,S07.15,,S07.21,S07.25,T07.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07:13,Gillingham,Pass,EMU,Victoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S07.13,S07.16/07.19,,S07.21/07.22,,,P07.24,,,S07.34,,S07.36,S07.41,,S07.46,,S07.56,S08.01,,,,,S08.07/08.08,,S08.11,,,P08.13,,,,,,,,P08.22,,,P08.23,,,,T08.28,,,,,,,,,
07:15,Bickley Jcn,Pass,EMU,Holbourn Viaduct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P07.15,,S07.17,,S07.19/07.20,,S07.23,,S07.25,,,S07.27,S07.30,S07.32,S07.35,,,,T07.37,,,,,,,,,,,,,,
07:16,Orpington,Pass,EMU,Holbourn Viaduct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P07.21,,S07.23,,S07.25/07.26,,S07.28,,S07.31,,,S07.33,S07.35,S07.38,S07.40,,,S07.44,T07.45,,,,,,,,,,,,,,
07:18,Gillingham,pass,EMU,Charing Cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S07.18,S07.11/07.13,,S07.21/07.23,,S07.27/07.25,T07.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07:20,Dover,Boat,WC&LI,Victoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P08.44,,,,P08.47,,,,,,,P08.52,,,,,,P09.03,,P09.04,,,,T09.10,,,,,,,,,
07:20,Ramsgate,XP,WC,Cannon St,S07.20,,S07.24,S07.28,,P07.34/07.37,,,,,S07.52/07.54,,,S08.02,,P08.12,,,,P08.20,,,,,,,,,,,,,P08.31,,P08.34,,P08.35,,,P08.36,,,P08.47,,,,,,,P08.57,,T09.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07:21,Orpington,Pass,EMU,Victoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P07.26,,S07.28,,S07.30/07.31,,S07.33,,S07.36,,,S07.38,S07.40,S07.43,S07.45,,,S07.48,,S07.50,,,,T07.56,,,,,,,,,
07:22,Sevenoaks,Pass,EMU,Holbourn Viaduct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S07.45,S07.50,,,S07.54,,S07.56/07.57,,S08.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
